,name,exchange,symbol,year,Name,Market Cap,Sector,Industry,Country
17083,NASDAQ_ADUS_2020.pdf,NASDAQ,ADUS,2020,Addus HomeCare Corporation Common Stock,1500197890.0,Health Care,Medical/Nursing Services,United States
17238,NASDAQ_ADUS_2021.pdf,NASDAQ,ADUS,2021,Addus HomeCare Corporation Common Stock,1500197890.0,Health Care,Medical/Nursing Services,United States
17329,NASDAQ_ADUS_2022.pdf,NASDAQ,ADUS,2022,Addus HomeCare Corporation Common Stock,1500197890.0,Health Care,Medical/Nursing Services,United States
17406,NASDAQ_ADVM_2019.pdf,NASDAQ,ADVM,2019,Adverum Biotechnologies Inc. Common Stock,214224641.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
17499,NASDAQ_ADVM_2020.pdf,NASDAQ,ADVM,2020,Adverum Biotechnologies Inc. Common Stock,214224641.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
17606,NASDAQ_ADVM_2021.pdf,NASDAQ,ADVM,2021,Adverum Biotechnologies Inc. Common Stock,214224641.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
17704,NASDAQ_ADVM_2022.pdf,NASDAQ,ADVM,2022,Adverum Biotechnologies Inc. Common Stock,214224641.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
17820,NASDAQ_ADXS_2018.pdf,NASDAQ,ADXS,2018,Advaxis,4820467.0,NoInfo,NoInfo,United States
17888,NASDAQ_ADXS_2019.pdf,NASDAQ,ADXS,2019,Advaxis,4820467.0,NoInfo,NoInfo,United States
17963,NASDAQ_ADXS_2020.pdf,NASDAQ,ADXS,2020,Advaxis,4820467.0,NoInfo,NoInfo,United States
18050,NASDAQ_ADXS_2021.pdf,NASDAQ,ADXS,2021,Advaxis,4820467.0,NoInfo,NoInfo,United States
18145,NASDAQ_AEGN_2016.pdf,NASDAQ,AEGN,2016,Aegion,922492416.0,NoInfo,NoInfo,United States
18247,NASDAQ_AEGN_2017.pdf,NASDAQ,AEGN,2017,Aegion,922492416.0,NoInfo,NoInfo,United States
18350,NASDAQ_AEGN_2018.pdf,NASDAQ,AEGN,2018,Aegion,922492416.0,NoInfo,NoInfo,United States
18451,NASDAQ_AEGN_2019.pdf,NASDAQ,AEGN,2019,Aegion,922492416.0,NoInfo,NoInfo,United States
18554,NASDAQ_AEHR_2017.pdf,NASDAQ,AEHR,2017,Aehr Test Systems Common Stock,1357966975.0,Industrials,Electrical Products,United States
18620,NASDAQ_AEHR_2018.pdf,NASDAQ,AEHR,2018,Aehr Test Systems Common Stock,1357966975.0,Industrials,Electrical Products,United States
18673,NASDAQ_AEHR_2019.pdf,NASDAQ,AEHR,2019,Aehr Test Systems Common Stock,1357966975.0,Industrials,Electrical Products,United States
18738,NASDAQ_AEHR_2020.pdf,NASDAQ,AEHR,2020,Aehr Test Systems Common Stock,1357966975.0,Industrials,Electrical Products,United States
18795,NASDAQ_AEHR_2021.pdf,NASDAQ,AEHR,2021,Aehr Test Systems Common Stock,1357966975.0,Industrials,Electrical Products,United States
18853,NASDAQ_AEIS_2017.pdf,NASDAQ,AEIS,2017,Advanced Energy Industries Inc. Common Stock,4369678593.0,Technology,Industrial Machinery/Components,United States
18911,NASDAQ_AEIS_2018.pdf,NASDAQ,AEIS,2018,Advanced Energy Industries Inc. Common Stock,4369678593.0,Technology,Industrial Machinery/Components,United States
18998,NASDAQ_AEIS_2019.pdf,NASDAQ,AEIS,2019,Advanced Energy Industries Inc. Common Stock,4369678593.0,Technology,Industrial Machinery/Components,United States
19108,NASDAQ_AEIS_2020.pdf,NASDAQ,AEIS,2020,Advanced Energy Industries Inc. Common Stock,4369678593.0,Technology,Industrial Machinery/Components,United States
19200,NASDAQ_AEIS_2021.pdf,NASDAQ,AEIS,2021,Advanced Energy Industries Inc. Common Stock,4369678593.0,Technology,Industrial Machinery/Components,United States
19313,NASDAQ_AEMD_2017.pdf,NASDAQ,AEMD,2017,Aethlon Medical Inc. Common Stock,8785776.0,Health Care,Medical/Dental Instruments,United States
19448,NASDAQ_AEMD_2018.pdf,NASDAQ,AEMD,2018,Aethlon Medical Inc. Common Stock,8785776.0,Health Care,Medical/Dental Instruments,United States
19535,NASDAQ_AEMD_2019.pdf,NASDAQ,AEMD,2019,Aethlon Medical Inc. Common Stock,8785776.0,Health Care,Medical/Dental Instruments,United States
19617,NASDAQ_AEMD_2020.pdf,NASDAQ,AEMD,2020,Aethlon Medical Inc. Common Stock,8785776.0,Health Care,Medical/Dental Instruments,United States
19689,NASDAQ_AEMD_2021.pdf,NASDAQ,AEMD,2021,Aethlon Medical Inc. Common Stock,8785776.0,Health Care,Medical/Dental Instruments,United States
19763,NASDAQ_AERI_2018.PDF,NASDAQ,AERI,2018,,,NoInfo,NoInfo,NoInfo
19876,NASDAQ_AERI_2019.pdf,NASDAQ,AERI,2019,,,NoInfo,NoInfo,NoInfo
20013,NASDAQ_AERI_2020.pdf,NASDAQ,AERI,2020,,,NoInfo,NoInfo,NoInfo
20197,NASDAQ_AERI_2021.pdf,NASDAQ,AERI,2021,,,NoInfo,NoInfo,NoInfo
20317,NASDAQ_AER_2018.pdf,NASDAQ,AER,2018,AerCap Holdings N.V. Ordinary Shares,16229004837.0,Consumer Discretionary,Diversified Commercial Services,Netherlands
20438,NASDAQ_AER_2019.pdf,NASDAQ,AER,2019,AerCap Holdings N.V. Ordinary Shares,16229004837.0,Consumer Discretionary,Diversified Commercial Services,Netherlands
20546,NASDAQ_AER_2020.pdf,NASDAQ,AER,2020,AerCap Holdings N.V. Ordinary Shares,16229004837.0,Consumer Discretionary,Diversified Commercial Services,Netherlands
20648,NASDAQ_AER_2021.pdf,NASDAQ,AER,2021,AerCap Holdings N.V. Ordinary Shares,16229004837.0,Consumer Discretionary,Diversified Commercial Services,Netherlands
20772,NASDAQ_AER_2022.pdf,NASDAQ,AER,2022,AerCap Holdings N.V. Ordinary Shares,16229004837.0,Consumer Discretionary,Diversified Commercial Services,Netherlands
20890,NASDAQ_AESE_2017.pdf,NASDAQ,AESE,2017,Allied Esports,54324936.0,NoInfo,NoInfo,United States
20950,NASDAQ_AESE_2018.pdf,NASDAQ,AESE,2018,Allied Esports,54324936.0,NoInfo,NoInfo,United States
21013,NASDAQ_AESE_2019.pdf,NASDAQ,AESE,2019,Allied Esports,54324936.0,NoInfo,NoInfo,United States
21115,NASDAQ_AESE_2020.pdf,NASDAQ,AESE,2020,Allied Esports,54324936.0,NoInfo,NoInfo,United States
21241,NASDAQ_AFMD_2017.pdf,NASDAQ,AFMD,2017,Affimed N.V.,91873968.0,Health Care,Biotechnology: Pharmaceutical Preparations,Germany
21295,NASDAQ_AFMD_2018.pdf,NASDAQ,AFMD,2018,Affimed N.V.,91873968.0,Health Care,Biotechnology: Pharmaceutical Preparations,Germany
21349,NASDAQ_AFMD_2019.pdf,NASDAQ,AFMD,2019,Affimed N.V.,91873968.0,Health Care,Biotechnology: Pharmaceutical Preparations,Germany
21402,NASDAQ_AFMD_2020.pdf,NASDAQ,AFMD,2020,Affimed N.V.,91873968.0,Health Care,Biotechnology: Pharmaceutical Preparations,Germany
21459,NASDAQ_AFMD_2021.pdf,NASDAQ,AFMD,2021,Affimed N.V.,91873968.0,Health Care,Biotechnology: Pharmaceutical Preparations,Germany
21516,NASDAQ_AFYA_2019.pdf,NASDAQ,AFYA,2019,Afya Limited Class A Common Shares,1474260116.0,Consumer Discretionary,Educational Services,Brazil
21679,NASDAQ_AFYA_2020.pdf,NASDAQ,AFYA,2020,Afya Limited Class A Common Shares,1474260116.0,Consumer Discretionary,Educational Services,Brazil
21876,NASDAQ_AGEN_2019.pdf,NASDAQ,AGEN,2019,Agenus Inc. Common Stock,572156573.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
22019,NASDAQ_AGEN_2020.pdf,NASDAQ,AGEN,2020,Agenus Inc. Common Stock,572156573.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
22148,NASDAQ_AGEN_2021.pdf,NASDAQ,AGEN,2021,Agenus Inc. Common Stock,572156573.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
22275,NASDAQ_AGEN_2022.pdf,NASDAQ,AGEN,2022,Agenus Inc. Common Stock,572156573.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
22399,NASDAQ_AGFS_2018.pdf,NASDAQ,AGFS,2018,AgroFresh,161152800.0,NoInfo,NoInfo,United States
22412,NASDAQ_AGFS_2019.pdf,NASDAQ,AGFS,2019,AgroFresh,161152800.0,NoInfo,NoInfo,United States
22415,NASDAQ_AGFS_2020.pdf,NASDAQ,AGFS,2020,AgroFresh,161152800.0,NoInfo,NoInfo,United States
22418,NASDAQ_AGII_2016.pdf,NASDAQ,AGII,2016,,,NoInfo,NoInfo,NoInfo
22430,NASDAQ_AGII_2017.pdf,NASDAQ,AGII,2017,,,NoInfo,NoInfo,NoInfo
22442,NASDAQ_AGII_2020.pdf,NASDAQ,AGII,2020,,,NoInfo,NoInfo,NoInfo
22606,NASDAQ_AGIO_2017.PDF,NASDAQ,AGIO,2017,Agios Pharmaceuticals Inc. Common Stock,1490676815.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
22723,NASDAQ_AGIO_2018.pdf,NASDAQ,AGIO,2018,Agios Pharmaceuticals Inc. Common Stock,1490676815.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
22845,NASDAQ_AGIO_2019.pdf,NASDAQ,AGIO,2019,Agios Pharmaceuticals Inc. Common Stock,1490676815.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
22973,NASDAQ_AGIO_2020.pdf,NASDAQ,AGIO,2020,Agios Pharmaceuticals Inc. Common Stock,1490676815.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23105,NASDAQ_AGIO_2021.pdf,NASDAQ,AGIO,2021,Agios Pharmaceuticals Inc. Common Stock,1490676815.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23214,NASDAQ_AGLE_2017.pdf,NASDAQ,AGLE,2017,Aeglea BioTherapeutics Inc. Common Stock,39171700.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23307,NASDAQ_AGLE_2018.pdf,NASDAQ,AGLE,2018,Aeglea BioTherapeutics Inc. Common Stock,39171700.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23402,NASDAQ_AGLE_2019.pdf,NASDAQ,AGLE,2019,Aeglea BioTherapeutics Inc. Common Stock,39171700.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23493,NASDAQ_AGLE_2020.pdf,NASDAQ,AGLE,2020,Aeglea BioTherapeutics Inc. Common Stock,39171700.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23609,NASDAQ_AGLE_2021.pdf,NASDAQ,AGLE,2021,Aeglea BioTherapeutics Inc. Common Stock,39171700.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
23716,NASDAQ_AGMH_2017.pdf,NASDAQ,AGMH,2017,AGM Group Holdings Inc. Class A Ordinary Shares,42195000.0,Technology,EDP Services,Hong Kong
23795,NASDAQ_AGMH_2018.pdf,NASDAQ,AGMH,2018,AGM Group Holdings Inc. Class A Ordinary Shares,42195000.0,Technology,EDP Services,Hong Kong
23879,NASDAQ_AGMH_2019.pdf,NASDAQ,AGMH,2019,AGM Group Holdings Inc. Class A Ordinary Shares,42195000.0,Technology,EDP Services,Hong Kong
23972,NASDAQ_AGMH_2020.pdf,NASDAQ,AGMH,2020,AGM Group Holdings Inc. Class A Ordinary Shares,42195000.0,Technology,EDP Services,Hong Kong
24052,NASDAQ_AGNC_2019.pdf,NASDAQ,AGNC,2019,AGNC Investment Corp. Common Stock,6040519680.0,Real Estate,Real Estate Investment Trusts,United States
24092,NASDAQ_AGNC_2020.pdf,NASDAQ,AGNC,2020,AGNC Investment Corp. Common Stock,6040519680.0,Real Estate,Real Estate Investment Trusts,United States
24167,NASDAQ_AGNC_2021.pdf,NASDAQ,AGNC,2021,AGNC Investment Corp. Common Stock,6040519680.0,Real Estate,Real Estate Investment Trusts,United States
24238,NASDAQ_AGNC_2022.pdf,NASDAQ,AGNC,2022,AGNC Investment Corp. Common Stock,6040519680.0,Real Estate,Real Estate Investment Trusts,United States
24324,NASDAQ_AGRX_2018.pdf,NASDAQ,AGRX,2018,Agile Therapeutics Inc. Common Stock,2986705.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
24446,NASDAQ_AGRX_2019.pdf,NASDAQ,AGRX,2019,Agile Therapeutics Inc. Common Stock,2986705.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
24551,NASDAQ_AGRX_2020.pdf,NASDAQ,AGRX,2020,Agile Therapeutics Inc. Common Stock,2986705.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
24693,NASDAQ_AGRX_2021.pdf,NASDAQ,AGRX,2021,Agile Therapeutics Inc. Common Stock,2986705.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
24790,NASDAQ_AGTC_2018.pdf,NASDAQ,AGTC,2018,,,NoInfo,NoInfo,NoInfo
25046,NASDAQ_AGTC_2019.pdf,NASDAQ,AGTC,2019,,,NoInfo,NoInfo,NoInfo
25192,NASDAQ_AGTC_2020.pdf,NASDAQ,AGTC,2020,,,NoInfo,NoInfo,NoInfo
25320,NASDAQ_AGTC_2021.pdf,NASDAQ,AGTC,2021,,,NoInfo,NoInfo,NoInfo
25493,NASDAQ_AGYS_2019.pdf,NASDAQ,AGYS,2019,Agilysys Inc. Common Stock (DE),1663821556.0,Technology,EDP Services,United States
25538,NASDAQ_AGYS_2020.pdf,NASDAQ,AGYS,2020,Agilysys Inc. Common Stock (DE),1663821556.0,Technology,EDP Services,United States
25590,NASDAQ_AGYS_2021.pdf,NASDAQ,AGYS,2021,Agilysys Inc. Common Stock (DE),1663821556.0,Technology,EDP Services,United States
25636,NASDAQ_AGYS_2022.pdf,NASDAQ,AGYS,2022,Agilysys Inc. Common Stock (DE),1663821556.0,Technology,EDP Services,United States
25687,NASDAQ_AHCO_2018.pdf,NASDAQ,AHCO,2018,AdaptHealth Corp. Common Stock,1886464535.0,Health Care,Medical/Nursing Services,United States
25766,NASDAQ_AHCO_2019.pdf,NASDAQ,AHCO,2019,AdaptHealth Corp. Common Stock,1886464535.0,Health Care,Medical/Nursing Services,United States
25897,NASDAQ_AHCO_2020.pdf,NASDAQ,AHCO,2020,AdaptHealth Corp. Common Stock,1886464535.0,Health Care,Medical/Nursing Services,United States
26005,NASDAQ_AHCO_2021.pdf,NASDAQ,AHCO,2021,AdaptHealth Corp. Common Stock,1886464535.0,Health Care,Medical/Nursing Services,United States
26124,NASDAQ_AHPI_2017.pdf,NASDAQ,AHPI,2017,Allied Healthcare Products,16054.0,NoInfo,NoInfo,United States
26156,NASDAQ_AHPI_2018.pdf,NASDAQ,AHPI,2018,Allied Healthcare Products,16054.0,NoInfo,NoInfo,United States
26188,NASDAQ_AHPI_2019.pdf,NASDAQ,AHPI,2019,Allied Healthcare Products,16054.0,NoInfo,NoInfo,United States
26220,NASDAQ_AHPI_2020.pdf,NASDAQ,AHPI,2020,Allied Healthcare Products,16054.0,NoInfo,NoInfo,United States
26260,NASDAQ_AHPI_2021.pdf,NASDAQ,AHPI,2021,Allied Healthcare Products,16054.0,NoInfo,NoInfo,United States
26296,NASDAQ_AIMC_2018.pdf,NASDAQ,AIMC,2018,Altra Industrial Motion,4050845440.0,NoInfo,NoInfo,United States
26371,NASDAQ_AIMC_2019.pdf,NASDAQ,AIMC,2019,Altra Industrial Motion,4050845440.0,NoInfo,NoInfo,United States
26442,NASDAQ_AIMC_2020.pdf,NASDAQ,AIMC,2020,Altra Industrial Motion,4050845440.0,NoInfo,NoInfo,United States
26513,NASDAQ_AIMC_2021.pdf,NASDAQ,AIMC,2021,Altra Industrial Motion,4050845440.0,NoInfo,NoInfo,United States
26585,NASDAQ_AIMT_2015.PDF,NASDAQ,AIMT,2015,,,NoInfo,NoInfo,NoInfo
26697,NASDAQ_AIMT_2016.pdf,NASDAQ,AIMT,2016,,,NoInfo,NoInfo,NoInfo
26822,NASDAQ_AIMT_2017.pdf,NASDAQ,AIMT,2017,,,NoInfo,NoInfo,NoInfo
26957,NASDAQ_AIMT_2018.pdf,NASDAQ,AIMT,2018,,,NoInfo,NoInfo,NoInfo
27075,NASDAQ_AINV_2019.pdf,NASDAQ,AINV,2019,,,NoInfo,NoInfo,NoInfo
27184,NASDAQ_AINV_2020.pdf,NASDAQ,AINV,2020,,,NoInfo,NoInfo,NoInfo
27326,NASDAQ_AINV_2021.pdf,NASDAQ,AINV,2021,,,NoInfo,NoInfo,NoInfo
27455,NASDAQ_AINV_2022.pdf,NASDAQ,AINV,2022,,,NoInfo,NoInfo,NoInfo
27606,NASDAQ_AIRT_2017.pdf,NASDAQ,AIRT,2017,Air T Inc. Common Stock,65444309.0,Consumer Discretionary,Air Freight/Delivery Services,United States
27679,NASDAQ_AIRT_2018.pdf,NASDAQ,AIRT,2018,Air T Inc. Common Stock,65444309.0,Consumer Discretionary,Air Freight/Delivery Services,United States
27757,NASDAQ_AIRT_2019.pdf,NASDAQ,AIRT,2019,Air T Inc. Common Stock,65444309.0,Consumer Discretionary,Air Freight/Delivery Services,United States
27818,NASDAQ_AIRT_2020.pdf,NASDAQ,AIRT,2020,Air T Inc. Common Stock,65444309.0,Consumer Discretionary,Air Freight/Delivery Services,United States
27879,NASDAQ_AIRT_2021.pdf,NASDAQ,AIRT,2021,Air T Inc. Common Stock,65444309.0,Consumer Discretionary,Air Freight/Delivery Services,United States
27940,NASDAQ_AKAM_2019.pdf,NASDAQ,AKAM,2019,Akamai Technologies Inc. Common Stock,14029990961.0,Consumer Discretionary,Business Services,United States
27967,NASDAQ_AKAM_2020.pdf,NASDAQ,AKAM,2020,Akamai Technologies Inc. Common Stock,14029990961.0,Consumer Discretionary,Business Services,United States
28034,NASDAQ_AKAM_2021.pdf,NASDAQ,AKAM,2021,Akamai Technologies Inc. Common Stock,14029990961.0,Consumer Discretionary,Business Services,United States
28120,NASDAQ_AKAM_2022.pdf,NASDAQ,AKAM,2022,Akamai Technologies Inc. Common Stock,14029990961.0,Consumer Discretionary,Business Services,United States
28199,NASDAQ_AKBA_2019.pdf,NASDAQ,AKBA,2019,Akebia Therapeutics Inc. Common Stock,228691589.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
28383,NASDAQ_AKBA_2020.pdf,NASDAQ,AKBA,2020,Akebia Therapeutics Inc. Common Stock,228691589.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
28598,NASDAQ_AKBA_2021.pdf,NASDAQ,AKBA,2021,Akebia Therapeutics Inc. Common Stock,228691589.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
28924,NASDAQ_AKBA_2022.pdf,NASDAQ,AKBA,2022,Akebia Therapeutics Inc. Common Stock,228691589.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
29162,NASDAQ_AKCA_2017.pdf,NASDAQ,AKCA,2017,,,NoInfo,NoInfo,NoInfo
29278,NASDAQ_AKCA_2018.pdf,NASDAQ,AKCA,2018,,,NoInfo,NoInfo,NoInfo
29426,NASDAQ_AKER_2016.pdf,NASDAQ,AKER,2016,,,NoInfo,NoInfo,NoInfo
29496,NASDAQ_AKER_2017.pdf,NASDAQ,AKER,2017,,,NoInfo,NoInfo,NoInfo
29572,NASDAQ_AKER_2018.pdf,NASDAQ,AKER,2018,,,NoInfo,NoInfo,NoInfo
29637,NASDAQ_AKER_2019.pdf,NASDAQ,AKER,2019,,,NoInfo,NoInfo,NoInfo
29721,NASDAQ_AKRO_2019.pdf,NASDAQ,AKRO,2019,Akero Therapeutics Inc. Common Stock,2213844428.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
29911,NASDAQ_AKRO_2020.pdf,NASDAQ,AKRO,2020,Akero Therapeutics Inc. Common Stock,2213844428.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
30027,NASDAQ_AKRO_2021.pdf,NASDAQ,AKRO,2021,Akero Therapeutics Inc. Common Stock,2213844428.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
30153,NASDAQ_AKRX_2015.pdf,NASDAQ,AKRX,2015,,,NoInfo,NoInfo,NoInfo
30355,NASDAQ_AKRX_2016.pdf,NASDAQ,AKRX,2016,,,NoInfo,NoInfo,NoInfo
30423,NASDAQ_AKRX_2017.pdf,NASDAQ,AKRX,2017,,,NoInfo,NoInfo,NoInfo
30515,NASDAQ_AKRX_2018.pdf,NASDAQ,AKRX,2018,,,NoInfo,NoInfo,NoInfo
30586,NASDAQ_AKTS_2017.pdf,NASDAQ,AKTS,2017,Akoustis Technologies Inc. Common Stock,176951168.0,Utilities,Telecommunications Equipment,United States
30653,NASDAQ_AKTS_2018.pdf,NASDAQ,AKTS,2018,Akoustis Technologies Inc. Common Stock,176951168.0,Utilities,Telecommunications Equipment,United States
30715,NASDAQ_AKTS_2019.pdf,NASDAQ,AKTS,2019,Akoustis Technologies Inc. Common Stock,176951168.0,Utilities,Telecommunications Equipment,United States
30818,NASDAQ_AKTS_2020.pdf,NASDAQ,AKTS,2020,Akoustis Technologies Inc. Common Stock,176951168.0,Utilities,Telecommunications Equipment,United States
30884,NASDAQ_AKTS_2021.pdf,NASDAQ,AKTS,2021,Akoustis Technologies Inc. Common Stock,176951168.0,Utilities,Telecommunications Equipment,United States
30945,NASDAQ_AKTX_2018.pdf,NASDAQ,AKTX,2018,Akari Therapeutics plc ADS,13050940.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom
30968,NASDAQ_AKTX_2019.pdf,NASDAQ,AKTX,2019,Akari Therapeutics plc ADS,13050940.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom
30994,NASDAQ_AKTX_2020.pdf,NASDAQ,AKTX,2020,Akari Therapeutics plc ADS,13050940.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom
31021,NASDAQ_AKTX_2021.pdf,NASDAQ,AKTX,2021,Akari Therapeutics plc ADS,13050940.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom
31048,NASDAQ_ALBO_2019.pdf,NASDAQ,ALBO,2019,,,NoInfo,NoInfo,NoInfo
31164,NASDAQ_ALBO_2020.pdf,NASDAQ,ALBO,2020,,,NoInfo,NoInfo,NoInfo
31282,NASDAQ_ALCO_2019.pdf,NASDAQ,ALCO,2019,Alico Inc. Common Stock,196213876.0,NoInfo,NoInfo,United States
31373,NASDAQ_ALCO_2020.pdf,NASDAQ,ALCO,2020,Alico Inc. Common Stock,196213876.0,NoInfo,NoInfo,United States
31464,NASDAQ_ALCO_2021.pdf,NASDAQ,ALCO,2021,Alico Inc. Common Stock,196213876.0,NoInfo,NoInfo,United States
31584,NASDAQ_ALCO_2022.pdf,NASDAQ,ALCO,2022,Alico Inc. Common Stock,196213876.0,NoInfo,NoInfo,United States
31752,NASDAQ_ALDR_2015.pdf,NASDAQ,ALDR,2015,,,NoInfo,NoInfo,NoInfo
31830,NASDAQ_ALDR_2016.pdf,NASDAQ,ALDR,2016,,,NoInfo,NoInfo,NoInfo
31923,NASDAQ_ALDR_2017.pdf,NASDAQ,ALDR,2017,,,NoInfo,NoInfo,NoInfo
32029,NASDAQ_ALDR_2018.pdf,NASDAQ,ALDR,2018,,,NoInfo,NoInfo,NoInfo
32200,NASDAQ_ALDX_2017.pdf,NASDAQ,ALDX,2017,Aldeyra Therapeutics Inc. Common Stock,468025037.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
32279,NASDAQ_ALDX_2018.pdf,NASDAQ,ALDX,2018,Aldeyra Therapeutics Inc. Common Stock,468025037.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
32364,NASDAQ_ALDX_2019.pdf,NASDAQ,ALDX,2019,Aldeyra Therapeutics Inc. Common Stock,468025037.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
32466,NASDAQ_ALDX_2020.pdf,NASDAQ,ALDX,2020,Aldeyra Therapeutics Inc. Common Stock,468025037.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
32560,NASDAQ_ALDX_2021.pdf,NASDAQ,ALDX,2021,Aldeyra Therapeutics Inc. Common Stock,468025037.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
32662,NASDAQ_ALEC_2018.pdf,NASDAQ,ALEC,2018,Alector Inc. Common Stock,536785450.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
32765,NASDAQ_ALEC_2019.pdf,NASDAQ,ALEC,2019,Alector Inc. Common Stock,536785450.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
32879,NASDAQ_ALEC_2020.pdf,NASDAQ,ALEC,2020,Alector Inc. Common Stock,536785450.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
32989,NASDAQ_ALEC_2021.pdf,NASDAQ,ALEC,2021,Alector Inc. Common Stock,536785450.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
33108,NASDAQ_ALGN_2019.pdf,NASDAQ,ALGN,2019,Align Technology Inc. Common Stock,25326345611.0,Health Care,Industrial Specialties,United States
33239,NASDAQ_ALGN_2020.pdf,NASDAQ,ALGN,2020,Align Technology Inc. Common Stock,25326345611.0,Health Care,Industrial Specialties,United States
33350,NASDAQ_ALGN_2021.pdf,NASDAQ,ALGN,2021,Align Technology Inc. Common Stock,25326345611.0,Health Care,Industrial Specialties,United States
33452,NASDAQ_ALGN_2022.pdf,NASDAQ,ALGN,2022,Align Technology Inc. Common Stock,25326345611.0,Health Care,Industrial Specialties,United States
33678,NASDAQ_ALGT_2019.pdf,NASDAQ,ALGT,2019,Allegiant Travel Company Common Stock,2362229733.0,Consumer Discretionary,Air Freight/Delivery Services,United States
33731,NASDAQ_ALGT_2020.pdf,NASDAQ,ALGT,2020,Allegiant Travel Company Common Stock,2362229733.0,Consumer Discretionary,Air Freight/Delivery Services,United States
33792,NASDAQ_ALGT_2021.pdf,NASDAQ,ALGT,2021,Allegiant Travel Company Common Stock,2362229733.0,Consumer Discretionary,Air Freight/Delivery Services,United States
33854,NASDAQ_ALGT_2022.pdf,NASDAQ,ALGT,2022,Allegiant Travel Company Common Stock,2362229733.0,Consumer Discretionary,Air Freight/Delivery Services,United States
33953,NASDAQ_ALIM_2019.pdf,NASDAQ,ALIM,2019,Alimera Sciences Inc. Common Stock,27101663.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
34094,NASDAQ_ALIM_2020.pdf,NASDAQ,ALIM,2020,Alimera Sciences Inc. Common Stock,27101663.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
34180,NASDAQ_ALIM_2021.pdf,NASDAQ,ALIM,2021,Alimera Sciences Inc. Common Stock,27101663.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
34266,NASDAQ_ALIM_2022.pdf,NASDAQ,ALIM,2022,Alimera Sciences Inc. Common Stock,27101663.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
34365,NASDAQ_ALJJ_2022.pdf,NASDAQ,ALJJ,2022,,,NoInfo,NoInfo,NoInfo
34417,NASDAQ_ALKS_2018.pdf,NASDAQ,ALKS,2018,Alkermes plc Ordinary Shares,5310900646.0,Health Care,Biotechnology: Pharmaceutical Preparations,Ireland
34526,NASDAQ_ALKS_2019.pdf,NASDAQ,ALKS,2019,Alkermes plc Ordinary Shares,5310900646.0,Health Care,Biotechnology: Pharmaceutical Preparations,Ireland
34643,NASDAQ_ALKS_2020.pdf,NASDAQ,ALKS,2020,Alkermes plc Ordinary Shares,5310900646.0,Health Care,Biotechnology: Pharmaceutical Preparations,Ireland
34761,NASDAQ_ALKS_2021.pdf,NASDAQ,ALKS,2021,Alkermes plc Ordinary Shares,5310900646.0,Health Care,Biotechnology: Pharmaceutical Preparations,Ireland
